# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/kr.battle.net/sc2/LOCALE/blog/19940903/AGGREGATED,"9,448"
/tw.battle.net/sc2/LOCALE/game/unit/cyclone,"9,403"
/us.battle.net/sc2/LOCALE/blog/19940902/AGGREGATED,"9,281"
/us.battle.net/sc2/LOCALE/blog/19957349/AGGREGATED,"9,240"
/us.battle.net/sc2/LOCALE/profile/AGGREGATED/ladder/,"9,178"
/us.battle.net/sc2/LOCALE/profile/AGGREGATED/matches,"9,129"
/us.battle.net/sc2/LOCALE/blog/19956941/AGGREGATED,"9,066"
/kr.battle.net/sc2/LOCALE/blog/19961546/AGGREGATED,"8,868"
/tw.battle.net/sc2/LOCALE/forum/17578/,"8,771"
/tw.battle.net/sc2/LOCALE/blog/19957543/AGGREGATED,"8,769"
/kr.battle.net/sc2/LOCALE/forum/13519/,"8,754"
/us.battle.net/sc2/LOCALE/blog/19940903/AGGREGATED,"8,723"
/kr.battle.net/sc2/LOCALE/game/race/zerg/,"8,612"
/us.battle.net/sc2/LOCALE/game/hero/,"8,564"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/2,"8,518"
/kr.battle.net/sc2/LOCALE/media/downloads/,"8,502"
/eu.battle.net/sc2/LOCALE/blog/19932726/AGGREGATED,"8,409"
/eu.battle.net/sc2/LOCALE/forum/11857/,"8,344"
/us.battle.net/sc2/LOCALE/ladder/grandmaster/heart-of-the-swarm,"8,328"
/kr.battle.net/sc2/LOCALE/forum/4488255/,"8,168"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/children-void/1,"8,153"
/eu.battle.net/sc2/LOCALE/media/comics/,"8,087"
/eu.battle.net/sc2/LOCALE/game/unit/tempest,"8,081"
/tw.battle.net/sc2/LOCALE/game/unit/liberator,"8,046"
/kr.battle.net/sc2/LOCALE/blog/19932223/AGGREGATED,"8,008"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/ascension/1,"7,987"
/us.battle.net/sc2/LOCALE/blog/19946443/AGGREGATED,"7,975"
/eu.battle.net/sc2/LOCALE/game/planet/,"7,912"
/us.battle.net/sc2/LOCALE/blog/19941045/AGGREGATED,"7,887"
/sea.battle.net/sc2/LOCALE/forum/topic/AGGREGATED,"7,809"
/eu.battle.net/sc2/LOCALE/media/screenshots/,"7,727"
/eu.battle.net/sc2/LOCALE/blog/19940901/AGGREGATED,"7,712"
/tw.battle.net/sc2/LOCALE/game/unit/disruptor,"7,690"
/eu.battle.net/sc2/LOCALE/blog/19913446/AGGREGATED,"7,668"
/tw.battle.net/sc2/LOCALE/media/,"7,634"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/3,"7,477"
/eu.battle.net/sc2/LOCALE/game/unit/marine,"7,468"
/tw.battle.net/sc2/LOCALE/blog/19941394/AGGREGATED,"7,464"
/kr.battle.net/sc2/LOCALE/blog/19955452/AGGREGATED,"7,409"
/eu.battle.net/sc2/LOCALE/game/unit/archon,"7,316"
/kr.battle.net/sc2/LOCALE/blog/19907624/AGGREGATED,"7,299"
/us.battle.net/sc2/LOCALE/media/fanart/,"7,281"
/eu.battle.net/sc2/LOCALE/game/unit/hellbat,"7,260"
/kr.battle.net/sc2/LOCALE/profile/AGGREGATED/rewards/,"7,253"
/eu.battle.net/sc2/LOCALE/game/unit/widow-mine,"7,195"
/eu.battle.net/sc2/LOCALE/forum/11529/,"7,176"
/eu.battle.net/sc2/LOCALE/blog/19913942/AGGREGATED,"7,129"
/eu.battle.net/sc2/LOCALE/game/unit/dark-templar,"7,127"
/eu.battle.net/sc2/LOCALE/forum/11894/,"7,116"
/us.battle.net/sc2/LOCALE/blog/19923884/AGGREGATED,"7,111"
/eu.battle.net/sc2/LOCALE/blog/19930935/AGGREGATED,"7,104"
/kr.battle.net/sc2/LOCALE/blog/19930937/AGGREGATED,"7,101"
/tw.battle.net/sc2/LOCALE/forum/12476/,"7,076"
/kr.battle.net/sc2/LOCALE/blog/19913942/AGGREGATED,"7,054"
